species,common,kingdom,class,lat,lon,date,year,basisOfRecord,datasetName
Vitis riparia,,Plantae,Magnoliopsida,45.018705,-93.237427,2026-07-28,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Jikradia olitoria,,Animalia,Insecta,45.021436,-93.243805,2026-07-21,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Phlox paniculata,,Plantae,Magnoliopsida,45.022316,-93.239317,2026-07-28,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Physocarpus opulifolius,,Plantae,Magnoliopsida,45.021128,-93.239765,2026-07-28,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Juniperus virginiana,,Plantae,Pinopsida,45.016109,-93.232292,2026-07-30,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Silene latifolia,,Plantae,Magnoliopsida,45.018083,-93.239606,2026-07-29,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Vitis riparia,,Plantae,Magnoliopsida,45.014328,-93.229462,2026-07-30,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Saponaria officinalis,,Plantae,Magnoliopsida,45.022296,-93.239587,2026-07-28,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Halysidota tessellaris,,Animalia,Insecta,45.016983,-93.240892,2026-07-30,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Halictus ligatus,,Animalia,Insecta,45.021453,-93.2436,2026-07-27,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Asclepias syriaca,,Plantae,Magnoliopsida,45.019408,-93.237215,2026-07-28,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Morus alba,,Plantae,Magnoliopsida,45.022037,-93.23726,2026-08-04,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Agapostemon virescens,,Animalia,Insecta,45.021461,-93.243683,2026-08-06,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Chauliognathus pensylvanicus,,Animalia,Insecta,45.02147,-93.243653,2026-08-01,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Bombus auricomus,,Animalia,Insecta,45.014458,-93.228438,2026-08-09,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Polistes fuscatus,,Animalia,Insecta,45.021431,-93.244095,2026-08-08,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Blepharida rhois,,Animalia,Insecta,45.017003,-93.240783,2026-08-01,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Melissa officinalis,,Plantae,Magnoliopsida,45.021435,-93.243836,2026-08-08,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Bombus impatiens,,Animalia,Insecta,45.021331,-93.2436,2026-08-01,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Danaus plexippus,,Animalia,Insecta,45.021436,-93.243667,2026-08-06,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Catalpa speciosa,,Plantae,Magnoliopsida,45.016887,-93.233478,2026-08-07,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Harmonia axyridis,,Animalia,Insecta,45.0215,-93.243613,2026-08-01,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Sicyos angulatus,,Plantae,Magnoliopsida,45.021406,-93.244012,2026-08-08,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Nabalus albus,,Plantae,Magnoliopsida,45.021478,-93.243713,2026-08-06,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Sorbus aucuparia,,Plantae,Magnoliopsida,45.01817,-93.238543,2026-08-06,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Bombus rufocinctus,,Animalia,Insecta,45.021467,-93.243697,2026-08-06,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Bombus impatiens,,Animalia,Insecta,45.021431,-93.244095,2026-08-08,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Polites coras,,Animalia,Insecta,45.021431,-93.244095,2026-08-01,2026,HUMAN_OBSERVATION,iNaturalist research-grade observations
Meleagris gallopavo,,Animalia,Aves,45.0215,-93.243858,2025-01-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Sciurus carolinensis,,Animalia,Mammalia,45.017753,-93.238726,2025-03-13,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Poecile atricapillus,,Animalia,Aves,45.016619,-93.24312,2025-04-19,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Dermacentor variabilis,,Animalia,Arachnida,45.021467,-93.243845,2025-04-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Prenolepis imparis,,Animalia,Insecta,45.021439,-93.243675,2025-04-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Boisea trivittata,,Animalia,Insecta,45.021436,-93.243988,2025-04-30,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Boisea trivittata,,Animalia,Insecta,45.014888,-93.247098,2025-04-06,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Meleagris gallopavo,,Animalia,Aves,45.014887,-93.247098,2025-04-21,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Oxneria fallax,,Fungi,Lecanoromycetes,45.014887,-93.247098,2025-04-06,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Sylvilagus floridanus,,Animalia,Mammalia,45.021408,-93.24385,2025-05-01,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Geum triflorum,,Plantae,Magnoliopsida,45.021736,-93.243562,2025-05-03,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Glechoma hederacea,,Plantae,Magnoliopsida,45.024045,-93.243745,2025-05-04,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Zizia aurea,,Plantae,Magnoliopsida,45.024972,-93.244622,2025-05-04,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Campanula rapunculoides,,Plantae,Magnoliopsida,45.023961,-93.24333,2025-05-04,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Leonurus cardiaca,,Plantae,Magnoliopsida,45.024067,-93.243697,2025-05-04,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Hydrophyllum virginianum,,Plantae,Magnoliopsida,45.023992,-93.243308,2025-05-04,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Geranium maculatum,,Plantae,Magnoliopsida,45.02395,-93.243478,2025-05-04,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Acer negundo,,Plantae,Magnoliopsida,45.024575,-93.244637,2025-05-04,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Rhamnus cathartica,,Plantae,Magnoliopsida,45.024033,-93.243422,2025-05-04,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Tipula dorsimacula,,Animalia,Insecta,45.01434,-93.233301,2025-05-05,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Labidomera clivicollis,,Animalia,Insecta,45.01478,-93.239822,2025-05-23,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Gnophomyia tristissima,,Animalia,Insecta,45.021447,-93.243995,2025-05-18,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Chrysemys picta,,Animalia,Testudines,45.021239,-93.241196,2025-05-29,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Phaeoura quernaria,,Animalia,Insecta,45.017334,-93.237442,2025-05-31,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Verbascum thapsus,,Plantae,Magnoliopsida,45.02145,-93.243933,2025-05-18,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Phidippus audax,,Animalia,Arachnida,45.022116,-93.234562,2025-06-06,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Campanula rapunculoides,,Plantae,Magnoliopsida,45.016146,-93.232361,2025-06-07,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Silene latifolia,,Plantae,Magnoliopsida,45.023653,-93.246087,2025-06-14,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Poecilocapsus lineatus,,Animalia,Insecta,45.021442,-93.24382,2025-06-14,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Tradescantia ohiensis,,Plantae,Liliopsida,45.015957,-93.232956,2025-06-08,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lucanus placidus,,Animalia,Insecta,45.016819,-93.244812,2025-06-16,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Asclepias syriaca,,Plantae,Magnoliopsida,45.02137,-93.243988,2025-06-19,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Tetraopes tetrophthalmus,,Animalia,Insecta,45.015827,-93.232623,2025-06-20,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Acalypha rhomboidea,,Plantae,Magnoliopsida,45.021442,-93.244042,2025-06-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
"Agelenopsis Giebel, 1869",,Animalia,Arachnida,45.021461,-93.243912,2025-06-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Acer negundo,,Plantae,Magnoliopsida,45.021436,-93.244025,2025-06-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Amelanchier arborea,,Plantae,Magnoliopsida,45.014422,-93.247162,2025-06-26,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Vitis riparia,,Plantae,Magnoliopsida,45.0214,-93.244042,2025-06-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Bombus impatiens,,Animalia,Insecta,45.0195,-93.242697,2025-06-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Asclepias syriaca,,Plantae,Magnoliopsida,45.021389,-93.24392,2025-06-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Parthenocissus inserta,,Plantae,Magnoliopsida,45.021408,-93.244072,2025-06-28,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Berteroa incana,,Plantae,Magnoliopsida,45.021408,-93.244103,2025-06-28,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Hackelia virginiana,,Plantae,Magnoliopsida,45.02137,-93.243697,2025-06-19,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Cirsium vulgare,,Plantae,Magnoliopsida,45.021478,-93.24398,2025-06-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Sciurus carolinensis,,Animalia,Mammalia,45.021392,-93.243963,2025-06-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Solanum emulans,,Plantae,Magnoliopsida,45.021461,-93.24402,2025-06-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lucidota atra,,Animalia,Insecta,45.021406,-93.244055,2025-06-28,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Graphocephala coccinea,,Animalia,Insecta,45.021398,-93.243581,2025-06-30,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Parthenocissus quinquefolia,,Plantae,Magnoliopsida,45.021439,-93.243933,2025-06-29,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Lucidota atra,,Animalia,Insecta,45.021453,-93.24395,2025-06-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Tetraopes tetrophthalmus,,Animalia,Insecta,45.021392,-93.243988,2025-06-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Harmonia axyridis,,Animalia,Insecta,45.021436,-93.243637,2025-06-28,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Leptopterna dolabrata,,Animalia,Insecta,45.021458,-93.24398,2025-06-19,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Harmonia axyridis,,Animalia,Insecta,45.016129,-93.232604,2025-06-17,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Atalantycha bilineata,,Animalia,Insecta,45.02142,-93.243837,2025-06-14,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Persicaria maculosa,,Plantae,Magnoliopsida,45.021422,-93.243605,2025-06-19,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Hemerocallis fulva,,Plantae,Liliopsida,45.014991,-93.243224,2025-07-08,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Philanthus gibbosus,,Animalia,Insecta,45.020221,-93.243924,2025-07-10,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Danaus plexippus,,Animalia,Insecta,45.014417,-93.2286,2025-07-14,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Danaus plexippus,,Animalia,Insecta,45.014442,-93.228613,2025-07-14,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Branta canadensis,,Animalia,Aves,45.017815,-93.232494,2025-07-27,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Meleagris gallopavo,,Animalia,Aves,45.018276,-93.240329,2025-07-05,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Coleomegilla maculata,,Animalia,Insecta,45.014887,-93.247098,2025-07-26,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Delphinia picta,,Animalia,Insecta,45.014887,-93.247098,2025-07-06,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Mythimna unipuncta,,Animalia,Insecta,45.014887,-93.247098,2025-07-26,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Verbena bracteata,,Plantae,Magnoliopsida,45.022556,-93.247162,2025-08-03,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Polites coras,,Animalia,Insecta,45.017806,-93.22784,2025-08-03,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Oxalis dillenii,,Plantae,Magnoliopsida,45.021408,-93.2472,2025-08-03,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Bombus impatiens,,Animalia,Insecta,45.021417,-93.243622,2025-08-10,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Tamias striatus,,Animalia,Mammalia,45.021345,-93.243872,2025-08-10,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Bombus griseocollis,,Animalia,Insecta,45.021431,-93.243692,2025-08-10,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Danaus plexippus,,Animalia,Insecta,45.020866,-93.240537,2025-08-09,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Apis mellifera,,Animalia,Insecta,45.014389,-93.228622,2025-08-09,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Bombus impatiens,,Animalia,Insecta,45.021408,-93.243675,2025-08-15,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Bombus griseocollis,,Animalia,Insecta,45.021436,-93.243753,2025-08-10,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Bombus rufocinctus,,Animalia,Insecta,45.019445,-93.242513,2025-08-10,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Mythimna unipuncta,,Animalia,Insecta,45.016891,-93.240845,2025-08-14,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
Polites coras,,Animalia,Insecta,45.019531,-93.242547,2025-08-07,2025,HUMAN_OBSERVATION,iNaturalist research-grade observations
