species,common,kingdom,class,records,years,lat,lon
Buteo lagopus,Rough-legged Hawk,Animalia,Aves,1,2007-2007,45.01931,-93.24225
Accipiter cooperii,,Animalia,Aves,1,2003-2003,45.01931,-93.24225
Oxidus gracilis,,Animalia,Diplopoda,1,2020-2020,45.016158,-93.23242
Ladislavella elodes,,Animalia,Gastropoda,1,1953-1953,45.0167,-93.2333
Bombus impatiens,Common eastern bumble bee,Animalia,Insecta,95,2015-2026,45.019426,-93.23927
Andrena wilkella,,Animalia,Insecta,31,2015-2018,45.019704,-93.239824
Calliopsis andreniformis,,Animalia,Insecta,17,2015-2015,45.019758,-93.239228
Harmonia axyridis,,Animalia,Insecta,15,2019-2026,45.01856,-93.241083
Bombus griseocollis,,Animalia,Insecta,14,2020-2026,45.019555,-93.240652
Danaus plexippus,,Animalia,Insecta,13,2020-2026,45.017918,-93.235531
Bombus auricomus,,Animalia,Insecta,13,2019-2026,45.019144,-93.238396
Bombus rufocinctus,,Animalia,Insecta,11,2015-2026,45.020553,-93.239668
Tetraopes tetrophthalmus,,Animalia,Insecta,9,2020-2026,45.021493,-93.243055
Chauliognathus pensylvanicus,,Animalia,Insecta,9,2020-2026,45.020286,-93.238824
Boisea trivittata,,Animalia,Insecta,9,2021-2025,45.017249,-93.245124
Lucanus placidus,,Animalia,Insecta,7,2022-2026,45.019477,-93.244592
Melanoplus differentialis,,Animalia,Insecta,7,2020-2026,45.018278,-93.236217
Polites coras,,Animalia,Insecta,7,2021-2026,45.019904,-93.239482
Apis mellifera,,Animalia,Insecta,7,2020-2025,45.017332,-93.235556
Bombus bimaculatus,Two-spotted bumble bee,Animalia,Insecta,7,2015-2024,45.019173,-93.240137
Agapostemon virescens,,Animalia,Insecta,6,2021-2026,45.019295,-93.241119
Graphocephala coccinea,,Animalia,Insecta,6,2020-2026,45.01752,-93.240012
Papilio polyxenes,,Animalia,Insecta,6,2021-2026,45.018576,-93.24051
Anax junius,,Animalia,Insecta,4,2020-2024,45.015974,-93.235964
Helophilus fasciatus,,Animalia,Insecta,4,2021-2024,45.021434,-93.241307
Halyomorpha halys,,Animalia,Insecta,3,2022-2026,45.017919,-93.236242
Popillia japonica,,Animalia,Insecta,3,2020-2026,45.017908,-93.238968
Vespula germanica,,Animalia,Insecta,3,2024-2026,45.017013,-93.245841
Jikradia olitoria,,Animalia,Insecta,3,2024-2026,45.01991,-93.242769
Polistes fuscatus,,Animalia,Insecta,3,2022-2026,45.021399,-93.244092
Labidomera clivicollis,,Animalia,Insecta,3,2021-2025,45.017598,-93.239862
Lucidota atra,,Animalia,Insecta,3,2020-2025,45.019095,-93.244398
Delphinia picta,,Animalia,Insecta,3,2022-2025,45.017064,-93.245896
Microcentrum rhombifolium,,Animalia,Insecta,3,2024-2025,45.016606,-93.240491
Pyrrharctia isabella,,Animalia,Insecta,3,2019-2025,45.017138,-93.234811
Pieris rapae,,Animalia,Insecta,3,2022-2024,45.018836,-93.243614
Eristalis dimidiata,,Animalia,Insecta,3,2022-2024,45.021427,-93.243939
Elkalyce comyntas,,Animalia,Insecta,3,2021-2022,45.019692,-93.239558
Bombus fervidus,,Animalia,Insecta,3,2015-2018,45.019805,-93.2402
Lilioceris lilii,,Animalia,Insecta,2,2025-2026,45.019159,-93.244292
Vanessa atalanta,,Animalia,Insecta,2,2026-2026,45.017153,-93.245017
Idia aemula,,Animalia,Insecta,2,2023-2026,45.021428,-93.243698
Daktulosphaira vitifoliae,,Animalia,Insecta,2,2019-2026,45.018715,-93.238247
Epargyreus clarus,,Animalia,Insecta,2,2026-2026,45.016684,-93.240864
Melissodes bimaculatus,,Animalia,Insecta,2,2017-2026,45.01655,-93.242624
Oncopeltus fasciatus,,Animalia,Insecta,2,2026-2026,45.019496,-93.241194
Sympetrum obtrusum,,Animalia,Insecta,2,2024-2026,45.01589,-93.24376
Halysidota tessellaris,,Animalia,Insecta,2,2023-2026,45.016646,-93.239265
Blepharida rhois,,Animalia,Insecta,2,2023-2026,45.019605,-93.237712
Prenolepis imparis,,Animalia,Insecta,2,2023-2025,45.021397,-93.243702
Atalantycha bilineata,,Animalia,Insecta,2,2022-2025,45.021434,-93.243764
Philanthus gibbosus,,Animalia,Insecta,2,2022-2025,45.020446,-93.238931
Mythimna unipuncta,,Animalia,Insecta,2,2025-2025,45.015889,-93.243971
Acanalonia conica,,Animalia,Insecta,2,2022-2025,45.021401,-93.24374
Polistes dominula,,Animalia,Insecta,2,2024-2025,45.018162,-93.245383
Megarhyssa macrura,,Animalia,Insecta,2,2022-2025,45.018184,-93.245334
Vanessa virginiensis,,Animalia,Insecta,2,2022-2024,45.02055,-93.243102
Polydrusus formosus,,Animalia,Insecta,2,2023-2024,45.01919,-93.244216
Aphis nerii,,Animalia,Insecta,2,2022-2024,45.018091,-93.245203
Megachile latimanus,,Animalia,Insecta,2,2015-2024,45.020669,-93.241514
Anthidium manicatum,,Animalia,Insecta,2,2022-2024,45.014035,-93.245411
Camponotus pennsylvanicus,,Animalia,Insecta,2,2023-2024,45.018079,-93.245237
Nymphalis antiopa,,Animalia,Insecta,2,2022-2023,45.020148,-93.2408
Trirhabda canadensis,,Animalia,Insecta,2,2022-2023,45.021437,-93.243931
Speyeria cybele,,Animalia,Insecta,2,2020-2022,45.014319,-93.235812
Libellula luctuosa,,Animalia,Insecta,2,2019-2020,45.015271,-93.241286
Andrena wilmattae,,Animalia,Insecta,2,2016-2016,45.019788,-93.240211
Lacinipolia renigera,,Animalia,Insecta,1,2026-2026,45.016831,-93.244673
Agrochola bicolorago,,Animalia,Insecta,1,2026-2026,45.016911,-93.240892
Anthrenus polonicus,,Animalia,Insecta,1,2026-2026,45.02132,-93.243858
Lagium atroviolaceum,,Animalia,Insecta,1,2026-2026,45.021397,-93.243697
Laphria thoracica,,Animalia,Insecta,1,2026-2026,45.01675,-93.24478
Arocatus melanocephalus,,Animalia,Insecta,1,2026-2026,45.021436,-93.243837
Cucullia convexipennis,,Animalia,Insecta,1,2026-2026,45.023503,-93.244912
Metcalfa pruinosa,,Animalia,Insecta,1,2026-2026,45.02398,-93.244291
Acholla multispinosa,,Animalia,Insecta,1,2026-2026,45.017003,-93.240805
Halictus ligatus,,Animalia,Insecta,1,2026-2026,45.021453,-93.2436
Tipula dorsimacula,,Animalia,Insecta,1,2025-2025,45.01434,-93.233301
Gnophomyia tristissima,,Animalia,Insecta,1,2025-2025,45.021447,-93.243995
Phaeoura quernaria,,Animalia,Insecta,1,2025-2025,45.017334,-93.237442
Poecilocapsus lineatus,,Animalia,Insecta,1,2025-2025,45.021442,-93.24382
Leptopterna dolabrata,,Animalia,Insecta,1,2025-2025,45.021458,-93.24398
Coleomegilla maculata,,Animalia,Insecta,1,2025-2025,45.014887,-93.247098
Orientus ishidae,,Animalia,Insecta,1,2025-2025,45.021406,-93.243845
Cyaniris neglecta,,Animalia,Insecta,1,2025-2025,45.02147,-93.243662
Caenurgina erechtea,,Animalia,Insecta,1,2025-2025,45.014887,-93.247098
Microcrambus elegans,,Animalia,Insecta,1,2025-2025,45.014887,-93.247098
Pyrausta orphisalis,,Animalia,Insecta,1,2025-2025,45.021514,-93.243692
Megacyllene robiniae,,Animalia,Insecta,1,2025-2025,45.021463,-93.239598
Polygonia comma,,Animalia,Insecta,1,2025-2025,45.017017,-93.240775
Micromus posticus,,Animalia,Insecta,1,2025-2025,45.016906,-93.240792
"Pachypsylla Riley, 1883",,Animalia,Insecta,1,2025-2025,45.014887,-93.247098
Cyrtolobus griseus,,Animalia,Insecta,1,2024-2024,45.021439,-93.2436
Amphimallon majale,,Animalia,Insecta,1,2024-2024,45.015971,-93.24546
Emmelina monodactyla,,Animalia,Insecta,1,2024-2024,45.016942,-93.244745
Dichromorpha viridis,,Animalia,Insecta,1,2024-2024,45.021461,-93.243963
Lasius neoniger,,Animalia,Insecta,1,2024-2024,45.021447,-93.243605
Aetole tripunctella,,Animalia,Insecta,1,2024-2024,45.014783,-93.246806
Aeshna umbrosa,,Animalia,Insecta,1,2024-2024,45.014783,-93.246806
Psyche casta,,Animalia,Insecta,1,2024-2024,45.014783,-93.246806
Hippodamia variegata,,Animalia,Insecta,1,2024-2024,45.014783,-93.246806
Creophilus maxillosus,,Animalia,Insecta,1,2024-2024,45.014783,-93.246806
Orius insidiosus,,Animalia,Insecta,1,2024-2024,45.014783,-93.246806
Dicromantispa sayi,,Animalia,Insecta,1,2024-2024,45.021472,-93.243912
Chrysopa oculata,,Animalia,Insecta,1,2023-2023,45.019142,-93.234192
Orthonama obstipata,,Animalia,Insecta,1,2023-2023,45.01469,-93.232943
Calymmaderus nitidus,,Animalia,Insecta,1,2023-2023,45.02057,-93.239096
Hemaris thysbe,,Animalia,Insecta,1,2023-2023,45.015756,-93.232206
Dolichovespula maculata,,Animalia,Insecta,1,2023-2023,45.023109,-93.235207
Andrena nubecula,,Animalia,Insecta,1,2023-2023,45.021325,-93.24395
Vespula maculifrons,,Animalia,Insecta,1,2023-2023,45.021428,-93.243845
Sericomyia militaris,,Animalia,Insecta,1,2023-2023,45.021474,-93.243835
Helophilus latifrons,,Animalia,Insecta,1,2023-2023,45.0215,-93.243575
Toxomerus geminatus,,Animalia,Insecta,1,2023-2023,45.021483,-93.243816
Andrena milwaukeensis,,Animalia,Insecta,1,2022-2022,45.021571,-93.24349
Phytomyza aesculi,,Animalia,Insecta,1,2022-2022,45.023964,-93.243203
Euptoieta claudia,,Animalia,Insecta,1,2022-2022,45.019834,-93.245048
Megarhyssa atrata,,Animalia,Insecta,1,2022-2022,45.021508,-93.243575
Pyralis farinalis,,Animalia,Insecta,1,2022-2022,45.021508,-93.243867
Calomycterus setarius,,Animalia,Insecta,1,2022-2022,45.021422,-93.243828
Cosmopepla lintneriana,,Animalia,Insecta,1,2022-2022,45.021483,-93.243575
Hypoprepia fucosa,,Animalia,Insecta,1,2022-2022,45.021361,-93.243645
"Pyrobombus Dalla Torre, 1880",,Animalia,Insecta,1,2022-2022,45.021447,-93.243753
"Bombus Latreille, 1802",,Animalia,Insecta,1,2022-2022,45.020611,-93.233526
"Agapostemon Guérin-Méneville, 1844",,Animalia,Insecta,1,2022-2022,45.021581,-93.243683
Tremex columba,,Animalia,Insecta,1,2022-2022,45.021545,-93.243605
Parazumia symmorpha,,Animalia,Insecta,1,2022-2022,45.021417,-93.243562
Roeseliana roeselii,,Animalia,Insecta,1,2022-2022,45.021428,-93.243972
Papilio cresphontes,,Animalia,Insecta,1,2022-2022,45.017145,-93.235747
Andrena hirticincta,,Animalia,Insecta,1,2022-2022,45.021371,-93.244089
Galgula partita,,Animalia,Insecta,1,2021-2021,45.020245,-93.24293
Leucrocuta minerva,,Animalia,Insecta,1,2021-2021,45.016859,-93.232385
Macrostemum zebratum,,Animalia,Insecta,1,2021-2021,45.016228,-93.243009
Machimus sadyates,,Animalia,Insecta,1,2021-2021,45.013759,-93.244916
Eumenes fraternus,,Animalia,Insecta,1,2021-2021,45.021868,-93.243527
Argia apicalis,,Animalia,Insecta,1,2021-2021,45.023164,-93.245999
Eristalis tenax,,Animalia,Insecta,1,2021-2021,45.022076,-93.243536
Antheraea polyphemus,,Animalia,Insecta,1,2020-2020,45.016244,-93.232447
Libellula pulchella,,Animalia,Insecta,1,2020-2020,45.023013,-93.23779
Sympetrum vicinum,,Animalia,Insecta,1,2020-2020,45.016456,-93.237759
Papilio glaucus,,Animalia,Insecta,1,2020-2020,45.015817,-93.232643
Pelecinus polyturator,,Animalia,Insecta,1,2020-2020,45.015604,-93.228973
Udea rubigalis,,Animalia,Insecta,1,2020-2020,45.015772,-93.229262
Pelidnota punctata,,Animalia,Insecta,1,2019-2019,45.021454,-93.24364
Vanessa cardui,,Animalia,Insecta,1,2019-2019,45.015836,-93.2324
Colletes kincaidii,,Animalia,Insecta,1,2018-2018,45.0196,-93.2396
Coelioxys rufitarsis,,Animalia,Insecta,1,2018-2018,45.0196,-93.2396
Andrena dunningi,,Animalia,Insecta,1,2017-2017,45.019788,-93.240211
Megachile frigida,,Animalia,Insecta,1,2017-2017,45.01969,-93.239648
Andrena commoda,,Animalia,Insecta,1,2016-2016,45.019788,-93.240211
Anthidium oblongatum,,Animalia,Insecta,1,2015-2015,45.019958,-93.241959
"Porcellionides Miers, 1878",,Animalia,Malacostraca,2,2024-2025,45.014835,-93.246952
Porcellio spinicornis,,Animalia,Malacostraca,1,2026-2026,45.016032,-93.231804
Armadillidium vulgare,,Animalia,Malacostraca,1,2022-2022,45.021358,-93.243622
Sciurus carolinensis,,Animalia,Mammalia,7,2020-2026,45.019351,-93.24071
Sylvilagus floridanus,,Animalia,Mammalia,4,2024-2026,45.021195,-93.244387
Tamias striatus,,Animalia,Mammalia,3,2022-2025,45.021413,-93.243662
Blarina brevicauda,,Animalia,Mammalia,2,2023-2023,45.023275,-93.245487
Procyon lotor,,Animalia,Mammalia,1,2025-2025,45.023633,-93.244714
Vulpes vulpes,,Animalia,Mammalia,1,2022-2022,45.01445,-93.234241
Chrysemys picta,,Animalia,Testudines,1,2025-2025,45.021239,-93.241196
Trametes versicolor,,Fungi,Agaricomycetes,1,2025-2025,45.021016,-93.242176
Agaricaceae,,Fungi,Agaricomycetes,1,2024-2024,45.014783,-93.246806
Laetiporus sulphureus,,Fungi,Agaricomycetes,1,2021-2021,45.024852,-93.245881
Oxneria fallax,,Fungi,Lecanoromycetes,1,2025-2025,45.014887,-93.247098
Puccinia urticata,,Fungi,Pucciniomycetes,1,2016-2016,45.017021,-93.243806
Xylaria polymorpha,,Fungi,Sordariomycetes,1,2022-2022,45.021539,-93.243675
Physcomitrium pyriforme,,Plantae,Bryopsida,1,1901-1901,45.013305,-93.237241
Scilla siberica,,Plantae,Liliopsida,4,2018-2026,45.019371,-93.235853
Tradescantia ohiensis,,Plantae,Liliopsida,2,2025-2026,45.016784,-93.236576
Convallaria majalis,,Plantae,Liliopsida,2,2021-2022,45.020482,-93.237722
Crocus neapolitanus,,Plantae,Liliopsida,1,2026-2026,45.01607,-93.232421
Hemerocallis fulva,,Plantae,Liliopsida,1,2025-2025,45.014991,-93.243224
Arisaema triphyllum,,Plantae,Liliopsida,1,2023-2023,45.021361,-93.243637
Maianthemum stellatum,,Plantae,Liliopsida,1,2021-2021,45.022594,-93.242603
Ageratina altissima,,Plantae,Magnoliopsida,10,2020-2026,45.020381,-93.241567
Asclepias syriaca,,Plantae,Magnoliopsida,8,2024-2026,45.020636,-93.24255
Campanula rapunculoides,,Plantae,Magnoliopsida,7,2020-2026,45.019811,-93.238119
Erigeron canadensis,,Plantae,Magnoliopsida,5,2024-2026,45.020724,-93.240382
Glechoma hederacea,,Plantae,Magnoliopsida,5,2020-2026,45.020822,-93.23895
Vitis riparia,,Plantae,Magnoliopsida,5,2019-2026,45.018397,-93.237519
Ambrosia artemisiifolia,,Plantae,Magnoliopsida,5,2014-2026,45.018578,-93.235713
Sicyos angulatus,,Plantae,Magnoliopsida,5,2019-2026,45.021438,-93.243849
Rhamnus cathartica,,Plantae,Magnoliopsida,5,2020-2025,45.021996,-93.242521
Celtis occidentalis,,Plantae,Magnoliopsida,5,2019-2023,45.018353,-93.235699
Leonurus cardiaca,,Plantae,Magnoliopsida,4,2022-2026,45.022272,-93.240096
Verbena bracteata,,Plantae,Magnoliopsida,4,2020-2026,45.021203,-93.237755
