species,common,kingdom,class,lat,lon,date,year,basisOfRecord,datasetName
Spinus tristis,American Goldfinch,Animalia,Aves,45.019638,-93.24008,2024-05-06,2024,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2024-05-12,2024,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019997,-93.23986,2024-05-14,2024,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019638,-93.24008,2024-05-06,2024,HUMAN_OBSERVATION,EBIRD
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,45.019638,-93.24008,2024-05-06,2024,HUMAN_OBSERVATION,EBIRD
Zonotrichia leucophrys,White-crowned Sparrow,Animalia,Aves,45.019638,-93.24008,2024-05-06,2024,HUMAN_OBSERVATION,EBIRD
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,45.019997,-93.23986,2024-05-14,2024,HUMAN_OBSERVATION,EBIRD
Sturnus vulgaris,European Starling,Animalia,Aves,45.019997,-93.23986,2024-05-17,2024,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019997,-93.23986,2024-05-14,2024,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2024-05-06,2024,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019997,-93.23986,2024-05-14,2024,HUMAN_OBSERVATION,EBIRD
Turdus migratorius,American Robin,Animalia,Aves,45.019638,-93.24008,2024-05-12,2024,HUMAN_OBSERVATION,EBIRD
Archilochus colubris,Ruby-throated Hummingbird,Animalia,Aves,45.019997,-93.23986,2024-05-14,2024,HUMAN_OBSERVATION,EBIRD
Ardea herodias,Great Blue Heron,Animalia,Aves,45.019638,-93.24008,2024-05-06,2024,HUMAN_OBSERVATION,EBIRD
Leiothlypis peregrina,Tennessee Warbler,Animalia,Aves,45.019638,-93.24008,2024-05-12,2024,HUMAN_OBSERVATION,EBIRD
Spizella passerina,Chipping Sparrow,Animalia,Aves,45.019638,-93.24008,2024-05-06,2024,HUMAN_OBSERVATION,EBIRD
Molothrus ater,Brown-headed Cowbird,Animalia,Aves,45.019638,-93.24008,2024-05-06,2024,HUMAN_OBSERVATION,EBIRD
Anas platyrhynchos,Mallard,Animalia,Aves,45.019638,-93.24008,2024-05-12,2024,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019997,-93.23986,2024-05-28,2024,HUMAN_OBSERVATION,EBIRD
Dumetella carolinensis,Gray Catbird,Animalia,Aves,45.019997,-93.23986,2024-05-14,2024,HUMAN_OBSERVATION,EBIRD
Chaetura pelagica,Chimney Swift,Animalia,Aves,45.019997,-93.23986,2024-05-17,2024,HUMAN_OBSERVATION,EBIRD
Spizella passerina,Chipping Sparrow,Animalia,Aves,45.019638,-93.24008,2024-05-12,2024,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019638,-93.24008,2024-05-12,2024,HUMAN_OBSERVATION,EBIRD
Molothrus ater,Brown-headed Cowbird,Animalia,Aves,45.019638,-93.24008,2024-05-12,2024,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019997,-93.23986,2024-05-28,2024,HUMAN_OBSERVATION,EBIRD
Myiarchus crinitus,Great Crested Flycatcher,Animalia,Aves,45.019638,-93.24008,2024-05-27,2024,HUMAN_OBSERVATION,EBIRD
Chaetura pelagica,Chimney Swift,Animalia,Aves,45.019638,-93.24008,2024-05-06,2024,HUMAN_OBSERVATION,EBIRD
Leiothlypis peregrina,Tennessee Warbler,Animalia,Aves,45.019997,-93.23986,2024-05-14,2024,HUMAN_OBSERVATION,EBIRD
Passer domesticus,House Sparrow,Animalia,Aves,45.019997,-93.23986,2024-05-28,2024,HUMAN_OBSERVATION,EBIRD
Dumetella carolinensis,Gray Catbird,Animalia,Aves,45.019638,-93.24008,2024-05-12,2024,HUMAN_OBSERVATION,EBIRD
Turdus migratorius,American Robin,Animalia,Aves,45.019997,-93.23986,2024-05-14,2024,HUMAN_OBSERVATION,EBIRD
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,45.019638,-93.24008,2024-05-12,2024,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019997,-93.23986,2024-07-30,2024,HUMAN_OBSERVATION,EBIRD
Larus delawarensis,Ring-billed Gull,Animalia,Aves,45.019997,-93.23986,2024-07-30,2024,HUMAN_OBSERVATION,EBIRD
Chaetura pelagica,Chimney Swift,Animalia,Aves,45.019997,-93.23986,2024-07-30,2024,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019997,-93.23986,2024-07-30,2024,HUMAN_OBSERVATION,EBIRD
Phalacrocorax auritus,Double-crested Cormorant,Animalia,Aves,45.019997,-93.23986,2024-07-30,2024,HUMAN_OBSERVATION,EBIRD
Falco columbarius,Merlin,Animalia,Aves,45.019997,-93.23986,2024-07-30,2024,HUMAN_OBSERVATION,EBIRD
Passer domesticus,House Sparrow,Animalia,Aves,45.019997,-93.23986,2024-07-30,2024,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2024-08-11,2024,HUMAN_OBSERVATION,EBIRD
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,45.019638,-93.24008,2024-08-11,2024,HUMAN_OBSERVATION,EBIRD
Leuconotopicus villosus,Hairy Woodpecker,Animalia,Aves,45.019638,-93.24008,2024-08-15,2024,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019638,-93.24008,2024-08-15,2024,HUMAN_OBSERVATION,EBIRD
Melanerpes carolinus,Red-bellied Woodpecker,Animalia,Aves,45.019638,-93.24008,2024-08-15,2024,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019638,-93.24008,2024-08-11,2024,HUMAN_OBSERVATION,EBIRD
Tyrannus tyrannus,Eastern Kingbird,Animalia,Aves,45.019638,-93.24008,2024-08-15,2024,HUMAN_OBSERVATION,EBIRD
Leuconotopicus villosus,Hairy Woodpecker,Animalia,Aves,45.019638,-93.24008,2024-08-11,2024,HUMAN_OBSERVATION,EBIRD
Tyrannus tyrannus,Eastern Kingbird,Animalia,Aves,45.019638,-93.24008,2024-08-11,2024,HUMAN_OBSERVATION,EBIRD
Phalacrocorax auritus,Double-crested Cormorant,Animalia,Aves,45.019638,-93.24008,2024-08-11,2024,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019638,-93.24008,2024-08-15,2024,HUMAN_OBSERVATION,EBIRD
Falco columbarius,Merlin,Animalia,Aves,45.019638,-93.24008,2024-08-11,2024,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019638,-93.24008,2024-08-11,2024,HUMAN_OBSERVATION,EBIRD
Ardea alba,Great Egret,Animalia,Aves,45.019638,-93.24008,2024-08-11,2024,HUMAN_OBSERVATION,EBIRD
Haemorhous mexicanus,House Finch,Animalia,Aves,45.019638,-93.24008,2024-08-15,2024,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2024-08-15,2024,HUMAN_OBSERVATION,EBIRD
Passer domesticus,House Sparrow,Animalia,Aves,45.019638,-93.24008,2024-08-15,2024,HUMAN_OBSERVATION,EBIRD
Buteo platypterus,Broad-winged Hawk,Animalia,Aves,45.019638,-93.24008,2024-08-15,2024,HUMAN_OBSERVATION,EBIRD
Myiarchus crinitus,Great Crested Flycatcher,Animalia,Aves,45.019638,-93.24008,2024-08-09,2024,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019638,-93.24008,2024-08-15,2024,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019638,-93.24008,2024-08-15,2024,HUMAN_OBSERVATION,EBIRD
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,45.019638,-93.24008,2024-08-15,2024,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019997,-93.23986,2024-09-17,2024,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019997,-93.23986,2024-09-17,2024,HUMAN_OBSERVATION,EBIRD
Falco columbarius,Merlin,Animalia,Aves,45.019997,-93.23986,2024-09-17,2024,HUMAN_OBSERVATION,EBIRD
Leiothlypis ruficapilla,Nashville Warbler,Animalia,Aves,45.019997,-93.23986,2024-09-24,2024,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019997,-93.23986,2024-09-17,2024,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019997,-93.23986,2024-09-24,2024,HUMAN_OBSERVATION,EBIRD
Chaetura pelagica,Chimney Swift,Animalia,Aves,45.019997,-93.23986,2024-09-17,2024,HUMAN_OBSERVATION,EBIRD
Leuconotopicus villosus,Hairy Woodpecker,Animalia,Aves,45.019997,-93.23986,2024-09-17,2024,HUMAN_OBSERVATION,EBIRD
Larus delawarensis,Ring-billed Gull,Animalia,Aves,45.019997,-93.23986,2024-09-17,2024,HUMAN_OBSERVATION,EBIRD
Spizelloides arborea,American Tree Sparrow,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Dryobates pubescens,Downy Woodpecker,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Pelecanus erythrorhynchos,American White Pelican,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Melanerpes carolinus,Red-bellied Woodpecker,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Passer domesticus,House Sparrow,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Haemorhous mexicanus,House Finch,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Zonotrichia albicollis,White-throated Sparrow,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Leiothlypis celata,Orange-crowned Warbler,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019997,-93.23986,2024-10-01,2024,HUMAN_OBSERVATION,EBIRD
Falco columbarius,Merlin,Animalia,Aves,45.019997,-93.23986,2024-11-08,2024,HUMAN_OBSERVATION,EBIRD
Dryocopus pileatus,Pileated Woodpecker,Animalia,Aves,45.019638,-93.24008,2024-11-15,2024,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019997,-93.23986,2024-11-08,2024,HUMAN_OBSERVATION,EBIRD
Dryobates pubescens,Downy Woodpecker,Animalia,Aves,45.019638,-93.24008,2024-11-15,2024,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019638,-93.24008,2024-11-15,2024,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019997,-93.23986,2024-11-08,2024,HUMAN_OBSERVATION,EBIRD
Leuconotopicus villosus,Hairy Woodpecker,Animalia,Aves,45.019638,-93.24008,2024-11-15,2024,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019638,-93.24008,2024-11-15,2024,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2024-11-15,2024,HUMAN_OBSERVATION,EBIRD
Passer domesticus,House Sparrow,Animalia,Aves,45.019638,-93.24008,2024-11-15,2024,HUMAN_OBSERVATION,EBIRD
Junco hyemalis,Dark-eyed Junco,Animalia,Aves,45.019638,-93.24008,2024-11-15,2024,HUMAN_OBSERVATION,EBIRD
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,45.019638,-93.24008,2024-11-15,2024,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019638,-93.24008,2024-11-15,2024,HUMAN_OBSERVATION,EBIRD
Melanerpes carolinus,Red-bellied Woodpecker,Animalia,Aves,45.019638,-93.24008,2024-11-15,2024,HUMAN_OBSERVATION,EBIRD
Falco columbarius,Merlin,Animalia,Aves,45.019997,-93.23986,2024-11-08,2024,HUMAN_OBSERVATION,EBIRD
Turdus migratorius,American Robin,Animalia,Aves,45.019638,-93.24008,2023-05-21,2023,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019638,-93.24008,2023-05-21,2023,HUMAN_OBSERVATION,EBIRD
Setophaga striata,Blackpoll Warbler,Animalia,Aves,45.019638,-93.24008,2023-05-22,2023,HUMAN_OBSERVATION,EBIRD
Ardea herodias,Great Blue Heron,Animalia,Aves,45.019638,-93.24008,2023-05-25,2023,HUMAN_OBSERVATION,EBIRD
Ardea herodias,Great Blue Heron,Animalia,Aves,45.019638,-93.24008,2023-05-21,2023,HUMAN_OBSERVATION,EBIRD
Spizella passerina,Chipping Sparrow,Animalia,Aves,45.019638,-93.24008,2023-05-25,2023,HUMAN_OBSERVATION,EBIRD
Anas platyrhynchos,Mallard,Animalia,Aves,45.019638,-93.24008,2023-05-21,2023,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2023-05-25,2023,HUMAN_OBSERVATION,EBIRD
Leiothlypis peregrina,Tennessee Warbler,Animalia,Aves,45.019638,-93.24008,2023-05-21,2023,HUMAN_OBSERVATION,EBIRD
Turdus migratorius,American Robin,Animalia,Aves,45.019638,-93.24008,2023-05-25,2023,HUMAN_OBSERVATION,EBIRD
Haemorhous mexicanus,House Finch,Animalia,Aves,45.019638,-93.24008,2023-05-25,2023,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019638,-93.24008,2023-05-21,2023,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019638,-93.24008,2023-05-21,2023,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019638,-93.24008,2023-05-25,2023,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019638,-93.24008,2023-05-25,2023,HUMAN_OBSERVATION,EBIRD
Dumetella carolinensis,Gray Catbird,Animalia,Aves,45.019638,-93.24008,2023-05-21,2023,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2023-05-21,2023,HUMAN_OBSERVATION,EBIRD
Myiarchus crinitus,Great Crested Flycatcher,Animalia,Aves,45.019638,-93.24008,2023-05-28,2023,HUMAN_OBSERVATION,EBIRD
Myiarchus crinitus,Great Crested Flycatcher,Animalia,Aves,45.019638,-93.24008,2023-05-25,2023,HUMAN_OBSERVATION,EBIRD
Haemorhous mexicanus,House Finch,Animalia,Aves,45.019638,-93.24008,2023-05-21,2023,HUMAN_OBSERVATION,EBIRD
Archilochus colubris,Ruby-throated Hummingbird,Animalia,Aves,45.019638,-93.24008,2023-05-21,2023,HUMAN_OBSERVATION,EBIRD
Spizella passerina,Chipping Sparrow,Animalia,Aves,45.019638,-93.24008,2023-05-21,2023,HUMAN_OBSERVATION,EBIRD
Archilochus colubris,Ruby-throated Hummingbird,Animalia,Aves,45.019638,-93.24008,2023-05-25,2023,HUMAN_OBSERVATION,EBIRD
Dumetella carolinensis,Gray Catbird,Animalia,Aves,45.019638,-93.24008,2023-05-25,2023,HUMAN_OBSERVATION,EBIRD
Troglodytes aedon,Northern House Wren,Animalia,Aves,45.019638,-93.24008,2023-06-08,2023,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019638,-93.24008,2023-07-30,2023,HUMAN_OBSERVATION,EBIRD
Spizella passerina,Chipping Sparrow,Animalia,Aves,45.019638,-93.24008,2023-07-30,2023,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019638,-93.24008,2023-07-30,2023,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019638,-93.24008,2023-07-30,2023,HUMAN_OBSERVATION,EBIRD
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,45.019638,-93.24008,2023-08-20,2023,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2023-08-20,2023,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019638,-93.24008,2023-08-20,2023,HUMAN_OBSERVATION,EBIRD
Turdus migratorius,American Robin,Animalia,Aves,45.019638,-93.24008,2023-08-20,2023,HUMAN_OBSERVATION,EBIRD
Passer domesticus,House Sparrow,Animalia,Aves,45.019638,-93.24008,2023-08-20,2023,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019638,-93.24008,2023-08-20,2023,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019638,-93.24008,2023-08-20,2023,HUMAN_OBSERVATION,EBIRD
Archilochus colubris,Ruby-throated Hummingbird,Animalia,Aves,45.019638,-93.24008,2023-08-17,2023,HUMAN_OBSERVATION,EBIRD
Dryobates pubescens,Downy Woodpecker,Animalia,Aves,45.019638,-93.24008,2023-08-20,2023,HUMAN_OBSERVATION,EBIRD
Melanerpes carolinus,Red-bellied Woodpecker,Animalia,Aves,45.019638,-93.24008,2023-09-17,2023,HUMAN_OBSERVATION,EBIRD
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,45.019638,-93.24008,2023-09-02,2023,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019638,-93.24008,2023-09-17,2023,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019638,-93.24008,2023-09-02,2023,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2023-09-02,2023,HUMAN_OBSERVATION,EBIRD
Zonotrichia albicollis,White-throated Sparrow,Animalia,Aves,45.019638,-93.24008,2023-09-17,2023,HUMAN_OBSERVATION,EBIRD
Buteo jamaicensis,Red-tailed Hawk,Animalia,Aves,45.019638,-93.24008,2023-09-17,2023,HUMAN_OBSERVATION,EBIRD
Quiscalus quiscula,Common Grackle,Animalia,Aves,45.019638,-93.24008,2023-09-17,2023,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019638,-93.24008,2023-09-02,2023,HUMAN_OBSERVATION,EBIRD
Colaptes auratus,Northern Flicker,Animalia,Aves,45.019638,-93.24008,2023-09-02,2023,HUMAN_OBSERVATION,EBIRD
Passer domesticus,House Sparrow,Animalia,Aves,45.019638,-93.24008,2023-09-17,2023,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019638,-93.24008,2023-09-17,2023,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2023-09-17,2023,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019997,-93.23986,2023-11-12,2023,HUMAN_OBSERVATION,EBIRD
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,45.019638,-93.24008,2023-11-13,2023,HUMAN_OBSERVATION,EBIRD
Haemorhous mexicanus,House Finch,Animalia,Aves,45.019638,-93.24008,2023-11-13,2023,HUMAN_OBSERVATION,EBIRD
Melanerpes carolinus,Red-bellied Woodpecker,Animalia,Aves,45.019997,-93.23986,2023-11-12,2023,HUMAN_OBSERVATION,EBIRD
Melanerpes carolinus,Red-bellied Woodpecker,Animalia,Aves,45.019638,-93.24008,2023-11-13,2023,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019997,-93.23986,2023-11-12,2023,HUMAN_OBSERVATION,EBIRD
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,45.019638,-93.24008,2023-11-29,2023,HUMAN_OBSERVATION,EBIRD
Junco hyemalis,Dark-eyed Junco,Animalia,Aves,45.019638,-93.24008,2023-11-13,2023,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2023-11-29,2023,HUMAN_OBSERVATION,EBIRD
Poecile atricapillus,Black-capped Chickadee,Animalia,Aves,45.019638,-93.24008,2023-11-13,2023,HUMAN_OBSERVATION,EBIRD
Dryobates pubescens,Downy Woodpecker,Animalia,Aves,45.019997,-93.23986,2023-11-12,2023,HUMAN_OBSERVATION,EBIRD
Passer domesticus,House Sparrow,Animalia,Aves,45.019997,-93.23986,2023-11-12,2023,HUMAN_OBSERVATION,EBIRD
Junco hyemalis,Dark-eyed Junco,Animalia,Aves,45.019997,-93.23986,2023-11-12,2023,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019638,-93.24008,2023-11-29,2023,HUMAN_OBSERVATION,EBIRD
Junco hyemalis,Dark-eyed Junco,Animalia,Aves,45.019638,-93.24008,2023-11-29,2023,HUMAN_OBSERVATION,EBIRD
Melanerpes carolinus,Red-bellied Woodpecker,Animalia,Aves,45.019638,-93.24008,2023-11-29,2023,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019638,-93.24008,2023-11-29,2023,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019997,-93.23986,2023-11-12,2023,HUMAN_OBSERVATION,EBIRD
Leuconotopicus villosus,Hairy Woodpecker,Animalia,Aves,45.019997,-93.23986,2023-11-12,2023,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019997,-93.23986,2023-11-12,2023,HUMAN_OBSERVATION,EBIRD
Haemorhous mexicanus,House Finch,Animalia,Aves,45.019638,-93.24008,2023-11-29,2023,HUMAN_OBSERVATION,EBIRD
Passer domesticus,House Sparrow,Animalia,Aves,45.019638,-93.24008,2023-11-29,2023,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019638,-93.24008,2023-11-29,2023,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019638,-93.24008,2023-11-13,2023,HUMAN_OBSERVATION,EBIRD
Spinus tristis,American Goldfinch,Animalia,Aves,45.019638,-93.24008,2023-12-02,2023,HUMAN_OBSERVATION,EBIRD
Colaptes auratus,Northern Flicker,Animalia,Aves,45.019638,-93.24008,2023-12-02,2023,HUMAN_OBSERVATION,EBIRD
Sitta carolinensis,White-breasted Nuthatch,Animalia,Aves,45.019638,-93.24008,2023-12-02,2023,HUMAN_OBSERVATION,EBIRD
Corvus brachyrhynchos,American Crow,Animalia,Aves,45.019638,-93.24008,2023-12-02,2023,HUMAN_OBSERVATION,EBIRD
Haemorhous mexicanus,House Finch,Animalia,Aves,45.019638,-93.24008,2023-12-02,2023,HUMAN_OBSERVATION,EBIRD
Cyanocitta cristata,Blue Jay,Animalia,Aves,45.019638,-93.24008,2023-12-02,2023,HUMAN_OBSERVATION,EBIRD
Cardinalis cardinalis,Northern Cardinal,Animalia,Aves,45.019638,-93.24008,2023-12-02,2023,HUMAN_OBSERVATION,EBIRD
